account_name,ancestors,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
유동당기손익인식지정금융부채,"부채,유동부채","5,470,090,000",0,0,"10,272,710,000",0,0,,,,,,
유동리스부채,"부채,유동부채","1,778,048,139","1,670,532,825","1,995,357,743","463,879,363","550,570,716",0,0,,,,,
유동성당기손익인식금융부채,"부채,유동부채",0,0,0,0,0,0,"16,566,148,400",0,,,,
유동성사채,"부채,유동부채","5,262,011,348","7,496,405,379","6,572,381,401","3,463,861,949",0,"4,114,467,827",0,0,,,,
유동성신주인수권부사채,"부채,유동부채",0,0,0,0,0,0,0,0,0,0,0,0
유동성유동화채무,"부채,유동부채",0,0,0,0,0,"6,172,482,283","13,700,000,000","13,400,000,000","10,822,097,680",,,
유동차입금,"부채,유동부채","9,705,762,704","6,230,733,306","5,494,347,313","11,718,607,364","16,415,031,032","6,179,270,415","8,642,939,937",,,,,
유동충당부채,"부채,유동부채",0,0,0,"33,944,590","29,056,464","33,354,180","5,102,205","12,992,221","43,762,250","52,732,847",0,0
기타단기충당부채,"부채,유동부채,유동충당부채",0,0,0,0,0,0,0,0,0,0,0,0
파생상품부채,"부채,유동부채",0,0,0,0,0,0,0,0,"94,142,923",0,,
폐기손실충당부채,"부채,유동부채",0,0,0,0,0,0,0,0,0,0,0,0
비유동부채,부채,"16,495,477,707","18,605,679,072","16,162,880,860","20,683,551,881","11,440,482,745","10,424,355,775","6,909,876,188","36,110,763,677","31,105,660,239","56,533,647,783","7,193,249,527","7,697,169,705"
기타비유동금융부채,"부채,비유동부채",0,0,0,"890,994","1,558,869",0,"2,421,997",0,"27,100,000,000",0,0,
비유동금융보증부채,"부채,비유동부채,기타비유동금융부채",0,0,0,0,0,0,0,"13,700,000,000",0,,,
기타비유동부채,"부채,비유동부채",0,0,0,0,0,0,0,"91,549,732","6,275,084","2,782,885",0,0
당기손익인식금융부채,"부채,비유동부채",0,0,0,0,0,0,0,0,0,0,,
비유동당기손익인식금융부채,"부채,비유동부채","3,578,764,000","6,291,780,000",0,0,0,0,0,"18,556,640,000",0,,,
비유동리스부채,"부채,비유동부채","6,442,929,182","6,937,611,663","7,817,531,177","61,623,404","191,353,189",0,0,,,,,
사채,"부채,비유동부채","5,731,087,266","5,033,903,430","6,951,663,730","14,774,099,175","5,828,818,814","2,358,470,383",0,0,,,,
사채할인발행차금,"부채,비유동부채",0,0,0,0,"(1,171,181,186)",0,0,,,,,
신주인수권부사채,"부채,비유동부채",0,0,0,0,0,0,0,0,0,"4,499,304,502","4,179,356,141","3,882,159,507"
유동화채무,"부채,비유동부채",0,0,0,0,0,"3,536,400,708",0,0,,,,
이연법인세부채,"부채,비유동부채",0,0,0,0,0,0,0,0,0,0,"323,490,820","611,263,507"
장기매입채무및기타비유동채무,"부채,비유동부채",0,"87,000,000","87,000,000","90,575,784","89,907,909","71,466,778","229,251,520","711,686,143",0,"433,595,392","61,454,906","62,049,916"
장기매입채무,"부채,비유동부채,장기매입채무및기타비유동채무",0,0,0,0,0,0,0,0,"514,594,958",,,
장기이연수익,"부채,비유동부채","323,351,963","255,383,979","503,594,621","1,474,165,626","818,773,127",0,0,,,,,
장기차입금,"부채,비유동부채",0,0,0,"1,530,000,000","2,070,000,000","1,942,420,000","4,415,140,020",0,"1,662,666,672","48,667,000,000","2,022,931,228","2,299,647,112"
장기폐기손실충당부채,"부채,비유동부채",0,0,0,0,0,0,0,0,0,0,0,0
전환사채,"부채,비유동부채",0,0,0,0,0,0,0,0,0,0,,
퇴직급여부채,"부채,비유동부채","419,345,296",0,"803,091,332","2,752,196,898","2,440,070,837","2,515,597,906","2,263,062,651","3,050,887,802","1,822,123,525","2,930,965,004","606,016,432","842,049,663"
부채총계,부채,"67,739,773,657","55,199,612,789","41,486,677,550","70,234,922,857","53,840,116,535","57,403,836,087","79,605,121,648","105,297,164,993","138,376,974,660","96,845,293,236","17,646,322,110","26,833,719,585"
자본,,0,0,0,0,0,0,0,0,0,0,0,0
비지배지분,자본,"(107,149,528)","(110,697,473)","(116,937,739)","(9,724,610)","9,671,329","38,190,054","56,533,036","118,802,415","230,321,318","1,912,923,173","(45,416,868)","(109,777,585)"
지배기업의소유주에게귀속되는자본,자본,"75,551,164,438","70,037,472,780","67,855,893,213","60,219,955,765","60,494,380,429","63,343,249,809","59,107,826,360","60,584,060,051","69,003,506,179","89,261,241,416","56,890,930,176","49,508,574,809"
기타자본구성요소,"자본,지배기업의소유주에게귀속되는자본","(1,471,026,499)","(1,471,026,499)","(1,471,026,499)","(1,207,584,290)","(1,207,584,290)","(1,207,584,290)","(1,207,584,290)","(921,350,700)","(763,675,670)","(1,271,925,267)","(1,271,925,267)","(1,148,282,327)"
기타포괄손익누계액,"자본,지배기업의소유주에게귀속되는자본","556,341,523","1,414,290,516","1,230,536,255","1,115,099,750","605,092,917","728,136,059","1,019,545,447","677,413,858","576,705,398","661,438,896","631,500,819","142,042,556"
이익잉여금,"자본,지배기업의소유주에게귀속되는자본","19,049,356,785","12,677,716,134","10,679,890,828","2,895,947,676","3,680,379,173","6,406,205,411","18,208,439,311","23,797,578,441","33,557,654,549","57,823,958,873","34,670,355,666","33,875,739,803"
자본금,"자본,지배기업의소유주에게귀속되는자본","15,577,399,000","15,577,399,000","15,577,399,000","15,577,399,000","15,577,399,000","15,577,399,000","9,577,399,000","9,233,626,500","8,915,569,000","8,099,330,500","6,185,673,000","5,154,727,500"
자본잉여금,"자본,지배기업의소유주에게귀속되는자본","41,839,093,629","41,839,093,629","41,839,093,629","41,839,093,629","41,839,093,629","41,839,093,629","31,510,026,892","27,796,791,952","26,717,252,902","23,948,438,414","16,675,325,958","11,484,347,277"
자본총계,자본,"75,444,014,910","69,926,775,307","67,738,955,474","60,210,231,155","60,504,051,758","63,381,439,863","59,164,359,396","60,702,862,466","69,233,827,497","91,174,164,589","56,845,513,308","49,398,797,224"
자본과부채총계,,"143,183,788,567","125,126,388,096","109,225,633,024","130,445,154,012","114,344,168,293","120,785,275,950","138,769,481,044","166,000,027,459","207,610,802,157","188,019,457,825","74,491,835,418","76,232,516,809"
