corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
LX세미콘,108320,유가증권시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",
LX하우시스,108670,유가증권시장,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,건축용 플라스틱제품 제조업,
MH에탄올,023150,유가증권시장,제조업,음료 제조업,알코올음료 제조업,증류주 및 합성주 제조업,주정 제조업
NI스틸,008260,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,기타 1차 철강 제조업,
OCI,456040,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 무기 화학물질 제조업,기타 기초 무기 화학물질 제조업
PI첨단소재,178920,유가증권시장,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,1차 플라스틱제품 제조업,
PKC,001340,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,"무기안료, 염료, 유연제 및 기타 착색제 제조업",무기안료용 금속 산화물 및 관련 제품 제조업
POSCO홀딩스,005490,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,"제철, 제강 및 합금철 제조업",
S-Oil,010950,유가증권시장,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,원유 정제처리업,원유 정제처리업
SB성보,003080,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,"비료, 농약 및 살균, 살충제 제조업",살균ㆍ살충제 및 농약 제조업,
SG글로벌,001380,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
SHD,001770,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,기타 1차 철강 제조업,그 외 기타 1차 철강 제조업
SH에너지화학,002360,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,,
SIMPAC,009160,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,"제철, 제강 및 합금철 제조업",합금철 제조업
SJG세종,033530,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
SKC,011790,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,,
SK바이오사이언스,302440,유가증권시장,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,,
SK아이이테크놀로지,361610,유가증권시장,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,,
SK오션플랜트,100090,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,철강관 제조업,
SK이노베이션,096770,유가증권시장,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,,
SK케미칼,285130,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱 물질 제조업,합성수지 및 기타 플라스틱 물질 제조업
SK하이닉스,000660,유가증권시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",
SNT다이내믹스,003570,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
SNT모티브,064960,유가증권시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
SNT에너지,100840,유가증권시장,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,"냉각, 공기조화, 여과, 증류 및 가스발생기 제조업",액체 여과기 제조업
SPC삼립,005610,유가증권시장,제조업,식료품 제조업,기타 식품 제조업,,
STX엔진,077970,유가증권시장,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,내연기관 및 터빈 제조업; 항공기용 및 차량용 제외,내연기관 제조업
SUN&L,002820,유가증권시장,제조업,목재 및 나무제품 제조업; 가구 제외,나무제품 제조업,"박판, 합판 및 강화 목제품 제조업","박판, 합판 및 유사 적층판 제조업"
TCC스틸,002710,유가증권시장,제조업,1차 금속 제조업,1차 철강 제조업,기타 1차 철강 제조업,"도금, 착색 및 기타 표면처리강재 제조업"
TP,007980,유가증권시장,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,,
TYM,002900,유가증권시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,농업 및 임업용 기계 제조업,농업 및 임업용 기계 제조업
WISCOM,024070,유가증권시장,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,기타 플라스틱제품 제조업,그 외 기타 플라스틱 제품 제조업
가온전선,000500,유가증권시장,제조업,전기장비 제조업,절연선 및 케이블 제조업,절연선 및 케이블 제조업,기타 절연선 및 케이블 제조업
강남제비스코,000860,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"잉크, 페인트, 코팅제 및 유사제품 제조업",일반용 도료 및 관련제품 제조업
경농,002100,유가증권시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,"비료, 농약 및 살균, 살충제 제조업",살균ㆍ살충제 및 농약 제조업,
경동나비엔,009450,유가증권시장,제조업,전기장비 제조업,가정용 기기 제조업,가정용 비전기식 조리 및 난방 기구 제조업,가정용 비전기식 조리 및 난방 기구 제조업
경보제약,214390,유가증권시장,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,,
