corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
RF머트리얼즈,327260,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,그 외 기타 전자부품 제조업
RF시스템즈,474610,코스닥시장,제조업,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,"금속 열처리, 도금 및 기타 금속가공업",절삭가공 및 유사처리업
S&K폴리텍,091340,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,
SCL사이언스,246960,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,,
SFA반도체,036540,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,
SG,255220,코스닥시장,제조업,비금속 광물제품 제조업,기타 비금속 광물제품 제조업,그 외 기타 비금속 광물제품 제조업,아스팔트 콘크리트 및 혼합제품 제조업
SG&G,040610,코스닥시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
SM Life Design,063440,코스닥시장,제조업,인쇄 및 기록매체 복제업,기록매체 복제업,,
TJ미디어,032540,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",영상 및 음향기기 제조업,,
TKG애강,022220,코스닥시장,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,1차 플라스틱제품 제조업,"플라스틱 선, 봉, 관 및 호스 제조업"
TPC,048770,코스닥시장,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,"베어링, 기어 및 동력전달장치 제조업",기어 및 동력전달장치 제조업
TS트릴리온,317240,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,,
가온그룹,078890,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,,
가온칩스,399720,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,비메모리용 및 기타 전자집적회로 제조업
강동씨앤엘,198440,코스닥시장,제조업,비금속 광물제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업",,
강스템바이오텍,217730,코스닥시장,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,,
강원에너지,114190,코스닥시장,제조업,전기장비 제조업,기타 전기장비 제조업,,
경남스틸,039240,코스닥시장,제조업,1차 금속 제조업,1차 철강 제조업,기타 1차 철강 제조업,그 외 기타 1차 철강 제조업
경남제약,053950,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
경동제약,011040,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
경창산업,024910,코스닥시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차용 신품 동력전달장치 및 전기장치 제조업,자동차용 신품 동력전달장치 제조업
고려제약,014570,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
고영,098460,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
공구우먼,366030,코스닥시장,제조업,"의복, 의복 액세서리 및 모피제품 제조업",의복 액세서리 제조업,,
광림,014200,코스닥시장,제조업,자동차 및 트레일러 제조업,자동차용 엔진 및 자동차 제조업,,
광무,029480,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,유선 통신장비 제조업,유선 통신장비 제조업
광진실업,026910,코스닥시장,제조업,1차 금속 제조업,1차 철강 제조업,"철강 압연, 압출 및 연신제품 제조업",열간 압연 및 압출 제품 제조업
구영테크,053270,코스닥시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
국순당,043650,코스닥시장,제조업,음료 제조업,알코올음료 제조업,발효주 제조업,탁주 및 약주 제조업
국영지앤엠,006050,코스닥시장,제조업,비금속 광물제품 제조업,유리 및 유리제품 제조업,,
국일신동,060480,코스닥시장,제조업,1차 금속 제조업,1차 비철금속 제조업,"비철금속 압연, 압출 및 연신제품 제조업","동 압연, 압출 및 연신제품 제조업"
국일제지,078130,코스닥시장,제조업,"펄프, 종이 및 종이제품 제조업",기타 종이 및 판지 제품 제조업,,
국전약품,307750,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,,
그리티,204020,코스닥시장,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,속옷 및 잠옷 제조업,속옷 및 잠옷 제조업
그린리소스,402490,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,,
그린생명과학,114450,코스닥시장,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,,
그린플러스,186230,코스닥시장,제조업,1차 금속 제조업,1차 비철금속 제조업,"비철금속 압연, 압출 및 연신제품 제조업","알루미늄 압연, 압출 및 연신제품 제조업"
금강철강,053260,코스닥시장,제조업,1차 금속 제조업,1차 철강 제조업,기타 1차 철강 제조업,
기가레인,049080,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,,
기가비스,420770,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,
기산텔레콤,035460,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,방송 및 무선 통신장비 제조업,
꿈비,407400,코스닥시장,제조업,가구 제조업,가구 제조업,기타 가구 제조업,그 외 기타 가구 제조업
나노,187790,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 무기 화학물질 제조업,기타 기초 무기 화학물질 제조업
나노신소재,121600,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,그 외 기타 화학제품 제조업,
나노실리칸첨단소재,286750,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 무기 화학물질 제조업,기타 기초 무기 화학물질 제조업
나노씨엠에스,247660,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,
나노엔텍,039860,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
나노캠텍,091970,코스닥시장,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,기타 플라스틱제품 제조업,
나노팀,417010,코스닥시장,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,,
나라엠앤디,051490,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,
나래나노텍,137080,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,
나무가,190510,코스닥시장,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,,
나우로보틱스,459510,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,산업용 로봇 제조업,산업용 로봇 제조업
나이벡,138610,코스닥시장,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,,
나인테크,267320,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,
네오셈,253590,코스닥시장,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,,
네오오토,212560,코스닥시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
네오크레마,311390,코스닥시장,제조업,식료품 제조업,기타 식품 제조업,,
네오티스,085910,코스닥시장,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,,
네오팜,092730,코스닥시장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업",화장품 제조업
네오펙트,290660,코스닥시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
