corp_name,stock_code,corp_type,level1,level2,level3,level4,level5
마이크로엔엑스,448780,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,치과용 기기 제조업
메디쎄이,200580,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
바이오프로테크,199290,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,,
아이오바이오,447690,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
애니메디솔루션,390110,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
에이엠시지,495900,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
오건에코텍,212310,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,치과기공물 제조업
오션스바이오,332190,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
유엑스엔,337840,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,방사선 장치 및 전기식 진단 기기 제조업,전기식 진단 및 요법 기기 제조업
이노벡스,279060,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",,
켈스,402420,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
타스컴,336040,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,그 외 기타 의료용 기기 제조업
펨토바이오메드,327610,코넥스시장,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,,
EMB,278990,코넥스시장,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",,
SK시그넷,260870,코넥스시장,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환장치 제조업",
루켄테크놀러지스,162120,코넥스시장,제조업,전기장비 제조업,기타 전기장비 제조업,,
썬테크,217320,코넥스시장,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환장치 제조업",전동기 및 발전기 제조업
에이펙스인텍,207490,코넥스시장,제조업,전기장비 제조업,전구 및 조명장치 제조업,조명장치 제조업,일반용 전기 조명장치 제조업
이비테크,208850,코넥스시장,제조업,전기장비 제조업,기타 전기장비 제조업,기타 전기장비 제조업,그 외 기타 전기장비 제조업
이엠티,232530,코넥스시장,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,운송장비용 이차전지 제조업
탈로스,434190,코넥스시장,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,운송장비용 이차전지 제조업
탑선,180060,코넥스시장,제조업,전기장비 제조업,기타 전기장비 제조업,,
